"ResourceTypeGeneral","ResourceType","Count"
"text","approximately 80 of lung cancer cases are classified as nonsmall cell lung cancer nsclc1 the most common subtype of nsclc is lung adenocarcinoma luad which accounts for approximately 55 of nsclc2 luad has higher incidence and case fatality rates compared to other types of malignant tumors and exhibits a high level of genetic heterogeneity3 despite significant improvements in clinical treatment through traditional surgery and the combination of radiotherapy and chemotherapy overall efficacy and prognosis remain limited in the past twenty years with the development of tumor molecular biology and the gradual deepening of gene research the diagnosis and treatment of luad have undergone significant changes47 the development and application of targeted drugs have extended survival and improved luad patients quality of life8 the carcinogenic mutation of the epidermal growth factor receptor egfr tyrosine kinase domain showed a significant clinical response to the firstgeneration egfr tyrosine kinase inhibitor tki gefitinib in 200449 ushering in the era of targeted treatment for nsclc three years later the discovery of alk rearrangement broadened the scope of targeted genomic changes in the disease510 subsequently some other driving events with strong transformation potential were reported including somatic oncogenic mutations of ros1 ret braf gene insertion of her2 and exon 14 skipping of met protooncogene811 driving genes are essential predictors of targeted therapeutic efficacy detecting driver gene mutations in luad patients can help screen for targeted drugs improving patient survival benefits1215 this study analyzed the mutations of driving genes egfr kras alk ros1 ret met braf her2 pik3ca and nras in luad and their correlation with clinical pathological features providing a theoretical basis for promoting multigene joint detection",1
"text","aptenodytes forsteri genome reference project",1
"text","apteroperla tikumana genome reference project",1
"text","arbeitsmaterial",1
"text","arbeitspapier liechtensteininstitut 62",1
"text","arbeitsprogramm",1
"text","architecture",1
"text","archivo alicia kozameh recepción de la obra  trabajos universitarios  entrevistas",1
"text","archivo alicia kozameh recepción de la obra  trabajos universitarios  ponencias",1
"text","archivo julio cortázar carpeta 09  los premios 1",1
"text","archivo julio cortázar carpeta 74  fondo cortázar en poitiers",1
"text","archivo julio cortázar carpeta dy 03  donación gladis a yurkievich  bibiografía cortázar",1
"text","aricle",1
"text","arrtikel",1
"text","artcile",1
"text","arthropod systematics  phylogeny electronic supplements",1
"text","arthrospira platensis abtarthrospira platensis abt has following important characteristics1 rich in nutrition such as proteinminerals vitamin b12 betacarotene and essential fatty acids like linolenic acid2 resistence against high alkalinity high salinity high carbonate and bicarbonate3 unstable genetical transformation system",1
